"ID";"Nombre";"Descripción";"Posición";"Mostrados";
"36";"Catálogo";"";"0";"1";
"72";"Snacks";"";"1";"1";
"43";"Vodka";"";"2";"1";
"81";"Regalos";"";"3";"1";
"46";"Champaña & Espumantes";"";"4";"1";
"40";"Coñac & Brandy";"COGNAC, BRANDY";"5";"1";
"71";"Cremas & Cocteleras";"";"6";"1";
"70";"Pisco";"PISCO";"7";"1";
"44";"Vino";"VINOS, VINO , JEREZ";"8";"1";
"75";"Bebidas & Mixers";"";"9";"1";
"45";"Cerveza & RTD";"";"10";"1";
"42";"Whisky";"WHISKY";"11";"1";
"73";"Aperitivos & Cordiales";"";"13";"1";
"41";"Tequila";"TEQUILA, MEZCAL";"14";"1";
"47";"Gin";"GIN-GINEBRA";"15";"1";
"74";"Secos & saborizados";"";"17";"0";
"39";"Ron";"";"19";"1";
"122";"Aguardiente";"AGUARDIENTE, GRAPA, GRAPPA";"20";"1";
"121";"Packs";"";"23";"1";
"123";"Promociones1";"";"24";"0";