"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"2364";"http://www.lataberna.com.ec/img/p/0.jpg";"TWO PACK + VASO RON 2300 750ML";"10062801";"Ron";"22.140000";"24.8";"";"0";
"2334";"http://www.lataberna.com.ec/img/p/0.jpg";"RUM JUMBIE COCONUT SPLASH 750ML";"10062742";"Ron";"15.260000";"17.09";"";"0";
"3119";"http://www.lataberna.com.ec/img/p/0.jpg";"12 APPLETON ORO 750ML + 1 APPLETON VX";"50000239";"Ron";"137.720000";"154.25";"4";"0";
"2377";"http://www.lataberna.com.ec/img/p/0.jpg";"APPLETON STATE VX + VASO";"10062851";"Ron";"20.960000";"23.48";"7";"0";
"2802";"http://www.lataberna.com.ec/img/p/0.jpg";"RON APPLETON BLANCO 750ML +COLA COLA";"10064054";"Ron";"10.750000";"12.04";"";"0";
"2952";"http://www.lataberna.com.ec/img/p/0.jpg";"RON CIEN FUEGOS 750ML+ VASO";"10064716";"Ron";"10.750000";"12.04";"";"0";
"2170";"http://www.lataberna.com.ec/img/p/0.jpg";"RON SAN MIGUEL BLACK 750ML";"10062251";"Ron";"12.750000";"14.28";"";"0";
"2987";"http://www.lataberna.com.ec/img/p/0.jpg";"100 FUEGOS 750ML+ COLA + HIELO";"10065321";"Ron";"10.710000";"12";"";"0";
"3085";"http://www.lataberna.com.ec/img/p/0.jpg";"2 CIEN FUEGOS COLA + 2 CIEN FUEGOS 750ML";"50000148";"Ron";"21.440000";"24.01";"0";"0";
"2360";"http://www.lataberna.com.ec/img/p/0.jpg";"RON APPLETON ORO 750ML+ COCA COLA";"10062795";"Ron";"10.750000";"12.04";"";"0";
"3120";"http://www.lataberna.com.ec/img/p/0.jpg";"12 APPLETON PLATA 750ML + 1 APPLETON VX";"50000241";"Ron";"137.720000";"154.25";"1";"0";
"2931";"http://www.lataberna.com.ec/img/p/0.jpg";"RON BACARDI SUPERIOR BLANCO + VASO";"10064302";"Ron";"11.600000";"12.99";"11";"0";
"2198";"http://www.lataberna.com.ec/img/p/0.jpg";"RON S.MIGUEL 7 ANOS 750ML";"10062349";"Ron";"13.750000";"15.4";"";"0";
"2988";"http://www.lataberna.com.ec/img/p/0.jpg";"100 FUEGOS EXPERIENCE750ML + COLA + HIEL";"10065322";"Ron";"14.280000";"15.99";"";"0";
"3086";"http://www.lataberna.com.ec/img/p/0.jpg";"PACK VASO + APPLETON VX 750ML";"50000150";"Ron";"19.030000";"21.31";"0";"0";
"2761";"http://www.lataberna.com.ec/img/p/0.jpg";"RON MOUNT GAY EXTRA OLD 750 ML";"10063990";"Ron";"56.240000";"62.99";"6";"0";
"2895";"http://www.lataberna.com.ec/img/p/8/0/9/5/8095.jpg";"RON BARBA NEGRA PLATA 1750 ML";"10064247";"Ron";"12.120000";"13.57";"12";"1";
"3145";"http://www.lataberna.com.ec/img/p/8/2/1/0/8210.jpg";"RON FLOR DE CAÑA BLACK LABEL 5 AÑOS 750M";"10062159";"Ron";"39.663500";"44.42";"";"0";
"2798";"http://www.lataberna.com.ec/img/p/8/0/1/7/8017.jpg";"RON APPLETON ESTATE V.X 750ML";"10064050";"Ron";"15.620000";"17.49";"48";"1";
"2144";"http://www.lataberna.com.ec/img/p/7/6/2/1/7621.jpg";"RON FLOR DE CAÑA EXTRA LITE 4 AÑOS 750ML";"10062158";"Ron";"34.510000";"38.65";"11";"1";
"2951";"http://www.lataberna.com.ec/img/p/8/1/2/6/8126.jpg";"RON CIEN FUEGOS 8 AÑOS 750 ML C.E";"10064701";"Ron";"12.330000";"13.81";"0";"0";
"2391";"http://www.lataberna.com.ec/img/p/7/6/8/1/7681.jpg";"RON CARTAGENA 750ML";"10062905";"Ron";"8.030000";"8.99";"12";"1";
"3243";"http://www.lataberna.com.ec/img/p/8/2/7/4/8274.jpg";"RON MONTANITA SURF PARADISE 700 ML";"10064981";"Ron";"6.784885";"7.6";"";"0";
"2855";"http://www.lataberna.com.ec/img/p/8/0/6/1/8061.jpg";"RON CIEN FUEGOS ORO 750 CL";"10064134";"Ron";"10.700000";"11.98";"50";"1";
"2154";"http://www.lataberna.com.ec/img/p/7/6/2/7/7627.jpg";"RON FLOR DE CAÑA GOLD 4 AÑOS 750ML";"10062220";"Ron";"38.060000";"42.63";"8";"1";
"2984";"http://www.lataberna.com.ec/img/p/7/0/7/0/7070.jpg";"RON CIEN FUEGOS ORO 750 CL+ESTUCHE METAL";"10065269";"Ron";"11.800000";"13.22";"";"0";
"2425";"http://www.lataberna.com.ec/img/p/7/6/9/1/7691.jpg";"RON APPLETON ESTATE-EXTRA 750 ML";"10062986";"Ron";"40.390000";"45.24";"0";"0";
"2881";"http://www.lataberna.com.ec/img/p/8/0/8/3/8083.jpg";"RON SELECTO 70 CL";"10064208";"Ron";"32.950000";"36.9";"0";"0";
"3036";"http://www.lataberna.com.ec/img/p/8/1/8/1/8181.jpg";"RON CIEN FUEGOS ORO 1 LT";"10068140";"Ron";"12.720000";"14.25";"0";"0";
"2683";"http://www.lataberna.com.ec/img/p/7/9/2/2/7922.jpg";"ZACAPA 23 AÑOS 750 ML";"10063877";"Ron";"77.590000";"86.9";"0";"0";
"2885";"http://www.lataberna.com.ec/img/p/8/0/8/7/8087.jpg";"RON BARBA NEGRA PLATA  70 CL";"10064221";"Ron";"6.160000";"6.9";"21";"1";
"2796";"http://www.lataberna.com.ec/img/p/8/0/1/5/8015.jpg";"RON APPLETON ORO 750ML";"10064048";"Ron";"10.140000";"11.36";"11";"1";
"2923";"http://www.lataberna.com.ec/img/p/8/1/0/9/8109.jpg";"BARBA NEGRA ORO 200 ML";"10064282";"Ron";"2.760000";"3.09";"20";"1";
"3219";"http://www.lataberna.com.ec/img/p/8/2/5/3/8253.jpg";"RON BACARDI CARTA ORO 750ML";"10061836";"Ron";"12.050000";"13.5";"0";"0";
"2145";"http://www.lataberna.com.ec/img/p/7/6/2/2/7622.jpg";"RON FLOR DE CAÑA GRAND RESERVA 7 AÑOS 75";"10062160";"Ron";"40.960000";"45.88";"0";"0";
"2423";"http://www.lataberna.com.ec/img/p/7/6/8/9/7689.jpg";"RON APPLETON BLANCO 1.75L";"10062983";"Ron";"24.610000";"27.56";"11";"1";
"2856";"http://www.lataberna.com.ec/img/p/6/2/0/4/6204.jpg";"RON CIEN FUEGOS ORO 750 CL";"10064134";"Ron";"9.870000";"11.05";"";"0";
"2443";"http://www.lataberna.com.ec/img/p/7/7/0/8/7708.jpg";"RON APPLETON ORO 750ML + VASO";"10063415";"Ron";"11.800000";"13.22";"8";"1";
"2882";"http://www.lataberna.com.ec/img/p/8/0/8/4/8084.jpg";"RON GRAN RESERVA 750ML";"10064217";"Ron";"27.630000";"30.95";"0";"0";
"2253";"http://www.lataberna.com.ec/img/p/7/6/5/5/7655.jpg";"RON FLOR CAÑA GOLD 4 AÑOS 375ML";"10062491";"Ron";"19.480000";"21.82";"";"0";
"2684";"http://www.lataberna.com.ec/img/p/7/9/2/3/7923.jpg";"ZACAPA XO 750 ML";"10063878";"Ron";"94.640000";"106";"0";"0";
"2894";"http://www.lataberna.com.ec/img/p/8/0/9/4/8094.jpg";"RON BARBA NEGRA ORO 1750 ML";"10064246";"Ron";"12.120000";"13.57";"18";"1";
"2797";"http://www.lataberna.com.ec/img/p/8/0/1/6/8016.jpg";"RON APPLETON BLANCO 750ML";"10064049";"Ron";"10.140000";"11.36";"30";"1";
"2379";"http://www.lataberna.com.ec/img/p/7/6/7/5/7675.jpg";"RON MONTANITA 750ML";"10062856";"Ron";"4.910000";"5.5";"11";"1";
"3242";"http://www.lataberna.com.ec/img/p/8/2/7/3/8273.jpg";"RON CIENFUEGOS 375ML";"10064166";"Ron";"6.359385";"7.12";"";"0";
"2816";"http://www.lataberna.com.ec/img/p/8/0/3/2/8032.jpg";"RON BACARDI SUPERIOR BLANCO";"10064077";"Ron";"12.050000";"13.5";"0";"0";
"2146";"http://www.lataberna.com.ec/img/p/7/6/2/3/7623.jpg";"RON FLOR DE CAÑA CENTENARIO 12 AÑOS 750M";"10062161";"Ron";"57.890000";"64.84";"0";"0";
"2983";"http://www.lataberna.com.ec/img/p/8/1/4/7/8147.jpg";"RON CIEN FUEGOS ORO 750 CL+ESTUCHE METAL";"10065269";"Ron";"11.800000";"13.22";"";"0";
"2424";"http://www.lataberna.com.ec/img/p/7/6/9/0/7690.jpg";"RON APPLETON ORO 1.75L";"10062984";"Ron";"24.470000";"27.41";"11";"1";
"2872";"http://www.lataberna.com.ec/img/p/8/0/7/6/8076.jpg";"RON CIEN FUEGOS ORO 1750ML";"10064168";"Ron";"21.420000";"23.99";"13";"1";
"2642";"http://www.lataberna.com.ec/img/p/7/8/8/4/7884.jpg";"RON APPLETON BLANCO 750ML + VASO";"10063791";"Ron";"11.800000";"13.22";"18";"1";
"2884";"http://www.lataberna.com.ec/img/p/8/0/8/6/8086.jpg";"RON BARBA NEGRA ORO 70 CL";"10064220";"Ron";"6.160000";"6.9";"54";"1";
"2303";"http://www.lataberna.com.ec/img/p/7/6/6/8/7668.jpg";"RON 2300 BLANCO 750ML";"10062684";"Ron";"9.810000";"10.99";"17";"1";
"2238";"http://www.lataberna.com.ec/img/p/8/2/3/5/8235.jpg";"RON 2300 ORO 750ML";"10062460";"Ron";"9.810000";"10.99";"17";"1";